District,Month,Visitors,Year
Jogulamba Gadwal,July,6543,2022
Jogulamba Gadwal,August,3210,2022
Jogulamba Gadwal,September,8765,2022
Jogulamba Gadwal,October,4321,2023
Jogulamba Gadwal,November,1987,2023
Jogulamba Gadwal,December,6543,2023
Kamareddy,January,3210,2020
Kamareddy,February,8765,2020
Kamareddy,March,4321,2020
Kamareddy,April,1987,2021
Kamareddy,May,6543,2021
Kamareddy,June,3210,2021
Kamareddy,July,8765,2022
Kamareddy,August,4321,2022
Kamareddy,September,1987,2022
Kamareddy,October,6543,2023
Kamareddy,November,3210,2023
Kamareddy,December,8765,2023
Karimnagar,January,4321,2020
Karimnagar,February,1987,2020
Karimnagar,March,6543,2020
Karimnagar,April,3210,2021
Karimnagar,May,8765,2021
Karimnagar,June,4321,2021
Karimnagar,July,1987,2022
Karimnagar,August,6543,2022
Karimnagar,September,3210,2022
Karimnagar,October,8765,2023
Karimnagar,November,4321,2023
Karimnagar,December,1987,2023
Khammam,January,6543,2020
Khammam,February,3210,2020
Khammam,March,8765,2020
Khammam,April,4321,2021
Khammam,May,1987,2021
Khammam,June,6543,2021
Khammam,July,3210,2022
Khammam,August,8765,2022
Khammam,September,4321,2022
Khammam,October,1987,2023
Khammam,November,6543,2023
Khammam,December,3210,2023
Komaram Bheem Asifabad,January,8765,2020
Komaram Bheem Asifabad,February,4321,2020
Komaram Bheem Asifabad,March,1987,2020
Komaram Bheem Asifabad,April,6543,2021
Komaram Bheem Asifabad,May,3210,2021
Komaram Bheem Asifabad,June,8765,2021
Komaram Bheem Asifabad,July,4321,2022
Komaram Bheem Asifabad,August,1987,2022
Komaram Bheem Asifabad,September,6543,2022
Komaram Bheem Asifabad,October,3210,2023
Komaram Bheem Asifabad,November,8765,2023
Komaram Bheem Asifabad,December,4321,2023
Mahabubabad,January,1987,2020
Mahabubabad,February,6543,2020
Mahabubabad,March,3210,2020
Mahabubabad,April,8765,2021
Mahabubabad,May,4321,2021
Mahabubabad,June,1987,2021
Mahabubabad,July,6543,2022
Mahabubabad,August,3210,2022
Mahabubabad,September,8765,2022
Mahabubabad,October,4321,2023
Mahabubabad,November,1987,2023
Mahabubabad,December,6543,2023
Mahbubnagar,January,3210,2020
Mahbubnagar,February,8765,2020
Mahbubnagar,March,4321,2020
Mahbubnagar,April,1987,2021
Mahbubnagar,May,6543,2021
Mahbubnagar,June,3210,2021
Mahbubnagar,July,8765,2022
Mahbubnagar,August,4321,2022
Mahbubnagar,September,1987,2022
Mahbubnagar,October,6543,2023
Mahbubnagar,November,3210,2023
Mahbubnagar,December,8765,2023
Mancherial,January,4321,2020
Mancherial,February,1987,2020
Mancherial,March,6543,2020
Mancherial,April,3210,2021
Mancherial,May,8765,2021
Mancherial,June,4321,2021
Mancherial,July,1987,2022
Mancherial,August,6543,2022
Mancherial,September,3210,2022
Mancherial,October,8765,2023
Mancherial,November,4321,2023
Mancherial,December,1987,2023
Medak,January,6543,2020
Medak,February,3210,2020
Medak,March,8765,2020
Medak,April,4321,2021
Medak,May,1987,2021
Medak,June,6543,2021
Medak,July,3210,2022
Medak,August,8765,2022
Medak,September,4321,2022
Medak,October,1987,2023
Medak,November,6543,2023
Medak,December,3210,2023
Mulugu,January,10,2020
Mulugu,February,8,2020
Mulugu,March,9,2020
Mulugu,April,8,2021
Mulugu,May,8,2021
Mulugu,June,8,2021
Mulugu,July,8,2022
Mulugu,August,10,2022
Mulugu,September,10,2022
Mulugu,October,11,2023
Mulugu,November,10,2023
Mulugu,December,10,2023
Nagarkurnool,January,8765,2020
Nagarkurnool,February,4321,2020
Nagarkurnool,March,1987,2020
Nagarkurnool,April,6543,2021
Nagarkurnool,May,3210,2021
Nagarkurnool,June,8765,2021
Nagarkurnool,July,4321,2022
Nagarkurnool,August,1987,2022
Nagarkurnool,September,6543,2022
Nagarkurnool,October,3210,2023
Nagarkurnool,November,8765,2023
Nagarkurnool,December,4321,2023
Nalgonda,January,1987,2020
Nalgonda,February,6543,2020
Nalgonda,March,3210,2020
Nalgonda,April,8765,2021
Nalgonda,May,4321,2021
Nalgonda,June,1987,2021
Nalgonda,July,6543,2022
Nalgonda,August,3210,2022
Nalgonda,September,8765,2022
Nalgonda,October,4321,2023
Nalgonda,November,1987,2023
Nalgonda,December,6543,2023
Narayanpet,January,3210,2020
Narayanpet,February,8765,2020
Narayanpet,March,4321,2020
Narayanpet,April,1987,2021
Narayanpet,May,6543,2021
Narayanpet,June,3210,2021
Narayanpet,July,8765,2022
Narayanpet,August,4321,2022
Narayanpet,September,1987,2022
Narayanpet,October,6543,2023
Narayanpet,November,3210,2023
Narayanpet,December,8765,2023
Nirmal,January,4321,2020
Nirmal,February,1987,2020
Nirmal,March,6543,2020
Nirmal,April,3210,2021
Nirmal,May,8765,2021
Nirmal,June,4321,2021
Nirmal,July,1987,2022
Nirmal,August,6543,2022
Nirmal,September,3210,2022
Nirmal,October,8765,2023
Nirmal,November,4321,2023
Nirmal,December,1987,2023
Nizamabad,January,6543,2020
Nizamabad,February,3210,2020
Nizamabad,March,8765,2020
Nizamabad,April,4321,2021
Nizamabad,May,2,2021
Nizamabad,June,1987,2021
Nizamabad,July,6543,2022
Nizamabad,August,3210,2022
Nizamabad,September,8765,2022
Nizamabad,October,4321,2023
Nizamabad,November,1987,2023
Nizamabad,December,6543,2023
Peddapa li,January,3210,2020
Peddapa li,February,8765,2020
Peddapa li,March,4321,2020
Peddapa li,April,1987,2021
Peddapa li,May,6543,2021
Peddapa li,June,3210,2021
Peddapa li,July,8765,2022
Peddapa li,August,4321,2022
Peddapa li,September,1987,2022
Peddapa li,October,6543,2023
Peddapa li,November,3210,2023
Peddapa li,December,8765,2023
Rajanna Sircilla,January,4321,2020
Rajanna Sircilla,February,1987,2020
Rajanna Sircilla,March,6543,2020
Rajanna Sircilla,April,3210,2021
Rajanna Sircilla,May,8765,2021
Rajanna Sircilla,June,4321,2021
Rajanna Sircilla,July,1987,2022
Rajanna Sircilla,August,6543,2022
Rajanna Sircilla,September,3210,2022
Rajanna Sircilla,October,8765,2023
Rajanna Sircilla,November,4321,2023
Rajanna Sircilla,December,1987,2023
Sangareddy,January,6543,2020
Sangareddy,February,3210,2020
Sangareddy,March,8765,2020
Sangareddy,April,4321,2021
Sangareddy,May,1987,2021
Sangareddy,June,6543,2021
Sangareddy,July,3210,2022
Sangareddy,August,8765,2022
Sangareddy,September,4321,2022
Sangareddy,October,1987,2023
Sangareddy,November,6543,2023
Sangareddy,December,3210,2023
Siddip et,January,8765,2020
Siddip et,February,4321,2020
Siddip et,March,1987,2020
Siddip et,April,6543,2021
Siddip et,May,3210,2021
Siddip et,June,8765,2021
Siddip et,July,4321,2022
Siddip et,August,1987,2022
Siddip et,September,6543,2022
Siddip et,October,3210,2023
Siddip et,November,8765,2023
Siddip et,December,4321,2023
Suryapet,January,1987,2020
Suryapet,February,6543,2020
Suryapet,March,3210,2020
Suryapet,April,8765,2021
Suryapet,May,4321,2021
Suryapet,June,1987,2021
Suryapet,July,6543,2022
Suryapet,August,3210,2022
Suryapet,September,8765,2022
Suryapet,October,4321,2023
Suryapet,November,1987,2023
Suryapet,December,6543,2023
Wanaparthy,January,3210,2020
Wanaparthy,February,8765,2020
Wanaparthy,March,4321,2020
Wanaparthy,April,1987,2021
Wanaparthy,May,6543,2021
Wanaparthy,June,3210,2021
Wanaparthy,July,8765,2022
Wanaparthy,August,4321,2022
Wanaparthy,September,1987,2022
Wanaparthy,October,6543,2023
Wanaparthy,November,3210,2023
Wanaparthy,December,8765,2023
Warangal (Rural),January,4321,2020
Warangal (Rural),February,1987,2020
Warangal (Rural),March,6543,2020
Warangal (Rural),April,3210,2021
Warangal (Rural),May,8765,2021
Warangal (Rural),June,4321,2021
Warangal (Rural),July,1987,2022
Warangal (Rural),August,11,2022
Warangal (Rural),September,13,2022
Warangal (Rural),October,6543,2023
Warangal (Rural),November,12,2023
Warangal (Rural),December,11,2023
Yadadri Bhongir •,January,8765,2020
Yadadri Bhongir •,February,4321,2020
Yadadri Bhongir •,March,1987,2020
Yadadri Bhongir •,April,6543,2021
Yadadri Bhongir •,May,3210,2021
Yadadri Bhongir •,June,8765,2021
Yadadri Bhongir •,July,4321,2022
Yadadri Bhongir •,August,1987,2022
Yadadri Bhongir •,September,6543,2022
Yadadri Bhongir •,October,3210,2023
Yadadri Bhongir •,November,8765,2023
Yadadri Bhongir •,December,4321,2023
